open,high,low,close,volume
90119.14,90183.43,90119.13,90148.76,10.96338
90148.76,90184.06,90148.76,90183.0,7.27456
90183.0,90183.01,90138.04,90145.26,11.26538
90145.27,90214.4,90145.26,90201.18,10.66529
90201.17,90207.9,90184.14,90198.88,4.28548
90198.88,90209.65,90198.81,90205.13,6.24167
90205.13,90255.44,90191.6,90255.43,17.78537
90255.43,90260.0,90210.93,90233.68,12.51861
90233.69,90280.76,90233.68,90245.6,13.22196
90245.61,90263.31,90243.22,90263.31,12.45716
90263.31,90278.17,90240.0,90240.01,13.54966
90240.0,90245.07,90117.05,90157.32,40.0899
90157.33,90179.92,90139.77,90169.41,13.54675
90169.41,90268.18,90169.4,90268.18,19.45982
90268.18,90309.01,90250.07,90309.0,28.83272
90309.01,90320.95,90194.64,90194.64,30.84612
90194.65,90318.22,90194.64,90304.71,15.81992
90304.71,90432.08,90294.27,90416.37,44.91249
90416.37,90471.0,90416.36,90417.03,20.12935
90417.03,90453.77,90340.07,90453.77,29.56631
90453.77,90472.4,90364.74,90375.0,25.8231
90374.99,90383.79,90345.93,90354.11,7.80257
90354.11,90388.45,90339.99,90340.0,14.36986
90340.0,90341.39,90268.12,90300.03,18.4219
90300.04,90338.01,90300.03,90338.0,3.54736
90338.0,90406.63,90338.0,90374.24,16.37291
90374.24,90419.75,90370.51,90419.74,5.14225
90419.75,90420.62,90383.34,90397.02,7.1499
90397.02,90442.0,90397.01,90426.75,11.1139
90426.75,90435.76,90283.68,90283.69,22.79751
90283.69,90317.33,90226.27,90317.32,13.60243
90317.32,90317.33,90208.0,90226.01,22.47748
90226.0,90264.41,90213.54,90258.09,6.69852
90258.09,90280.0,90244.25,90280.0,6.68628
90280.0,90293.29,90268.12,90293.29,3.09991
90293.29,90340.34,90293.28,90340.33,13.16265
90340.33,90345.94,90332.32,90332.33,7.79816
90332.33,90352.0,90318.07,90345.94,5.86372
90345.94,90345.94,90292.33,90340.0,16.29959
90340.0,90370.01,90339.97,90366.73,14.66778
90366.74,90370.52,90354.39,90354.86,5.04446
90354.86,90384.0,90345.93,90384.0,9.17794
90383.99,90384.0,90240.01,90291.57,28.95272
90291.57,90309.35,90291.56,90309.35,3.57416
90309.35,90322.76,90305.32,90305.32,17.74838
90305.33,90305.33,90256.5,90258.84,26.7577
90258.84,90290.18,90258.83,90290.17,7.09392
90290.18,90290.18,90284.24,90284.24,9.85992
90284.24,90303.08,90284.24,90284.39,7.44823
90284.4,90289.97,90284.39,90289.96,3.46075
