open,high,low,close,volume
65968.23,66028.67,65625.01,65665.67,247.64729
65665.67,65789.62,65608.3,65698.37,103.28478
65698.38,65758.0,65550.0,65550.01,199.07496
65550.01,65767.21,65542.6,65744.56,150.40149
65744.56,65859.44,65734.79,65800.01,65.43621
65800.0,65874.4,65782.01,65794.94,68.63662
65794.95,65983.67,65794.94,65979.13,108.59717
65979.13,65981.31,65889.62,65964.88,99.44731
65964.89,65994.11,65901.78,65951.96,61.6553
65951.95,65981.33,65926.63,65926.64,41.9241
65926.64,66029.42,65904.44,66007.52,50.40141
66007.8,66015.36,65759.69,65823.76,312.52483
65823.76,65924.0,65816.17,65892.2,36.48899
65892.2,66064.0,65664.13,66058.05,79.67643
66058.05,66126.68,65822.25,65988.38,116.05203
65988.38,65992.51,65713.42,65770.64,77.48593
65770.64,65833.28,65654.54,65736.37,52.35376
65736.38,65864.38,65725.71,65784.97,58.93609
65784.97,65949.7,65771.79,65928.67,36.59684
65928.67,66026.14,65908.0,65980.23,32.14722
65980.23,66079.66,65974.27,66054.74,52.37562
66054.74,66306.0,66054.73,66213.48,203.15504
66213.48,66293.46,66213.48,66282.0,46.61854
66281.99,66394.73,66210.0,66238.35,63.6484
66238.34,66357.8,66210.0,66356.59,22.85256
66356.6,66492.2,66356.59,66393.4,42.87467
66393.41,66602.94,66393.4,66537.86,192.25873
66537.87,66720.84,66428.08,66492.72,245.43475
66492.72,66514.49,66385.44,66395.85,186.24292
66395.86,66519.06,66392.76,66472.39,74.67029
66472.39,66538.99,66317.9,66386.5,409.24581
66386.51,66422.78,66316.64,66380.44,166.90816
66380.44,66383.98,66307.29,66344.86,152.8933
66344.86,66380.16,66240.93,66302.35,141.35784
66302.35,66320.24,66164.96,66168.62,87.89683
66168.61,66352.0,66110.93,66288.66,59.05969
66288.67,66349.46,66265.73,66316.26,41.15369
66316.25,66324.96,66079.24,66144.63,59.59447
66144.62,66202.83,66141.83,66171.72,16.0144
66171.72,66229.86,66154.04,66223.42,24.07283
66223.42,66263.71,66153.85,66259.7,17.27869
66259.71,66291.0,66217.38,66286.18,25.4736
66286.18,66381.74,66153.86,66381.74,31.23123
66381.73,66381.73,66225.66,66282.61,29.81837
66282.61,66290.01,66218.42,66290.0,45.34407
66290.0,66290.0,66135.44,66200.0,43.7143
66200.0,66318.41,66170.54,66316.4,43.53504
66316.39,66316.4,66205.6,66283.79,96.21158
66283.79,66288.78,66061.22,66112.41,41.23214
66112.41,66184.02,66088.1,66088.1,114.4083
