open,high,low,close,volume
87550.62,87555.92,87550.62,87555.92,3.44618
87555.92,87567.45,87555.91,87567.44,7.03252
87567.45,87600.32,87567.44,87600.32,4.67479
87600.31,87625.03,87600.31,87625.02,9.38316
87625.03,87634.41,87625.03,87634.41,8.31383
87634.4,87634.41,87634.39,87634.4,12.93957
87634.4,87634.4,87634.39,87634.39,3.58112
87634.39,87655.4,87634.39,87655.39,8.32174
87655.39,87668.23,87655.39,87668.23,5.48596
87668.23,87668.23,87637.12,87637.12,14.38122
87637.12,87657.5,87637.12,87657.49,8.73517
87657.49,87668.23,87657.49,87668.23,6.70778
87668.23,87668.23,87668.22,87668.22,6.37349
87668.23,87668.23,87668.22,87668.22,7.40018
87668.22,87668.23,87629.98,87666.21,18.37344
87666.2,87917.0,87666.2,87864.31,153.01865
87864.31,87955.0,87759.08,87770.45,35.36446
87770.45,87797.12,87707.95,87734.46,29.26025
87734.46,87739.54,87692.67,87692.67,11.26555
87692.68,87692.68,87580.0,87610.73,29.5066
87610.73,87610.73,87526.76,87526.76,13.5166
87526.76,87619.19,87526.76,87571.61,25.25418
87571.6,87634.21,87499.99,87604.66,33.1804
87604.66,87649.99,87592.66,87635.6,13.47872
87635.6,87651.76,87565.99,87565.99,16.9984
87566.0,87628.02,87565.99,87581.64,20.36542
87581.64,87648.0,87574.33,87623.47,11.87777
87623.46,87645.23,87594.15,87610.86,20.45789
87610.87,87705.24,87610.86,87674.41,28.04738
87674.41,87722.41,87674.4,87675.0,14.82186
87675.0,87675.01,87648.6,87648.6,10.328
87648.6,87664.49,87648.6,87664.48,4.16762
87664.48,87664.48,87664.46,87664.46,4.11889
87664.46,87687.88,87664.46,87687.87,6.25009
87687.87,87936.01,87687.87,87808.69,105.89086
87808.7,87984.0,87808.7,87872.69,40.29409
87872.68,87887.0,87842.92,87877.01,22.62408
87877.0,87961.37,87877.0,87901.26,30.93811
87901.26,87917.0,87808.69,87829.46,27.50086
87829.45,87858.95,87815.11,87815.12,9.0398
87815.12,87822.14,87778.03,87802.3,9.78983
87802.3,87821.8,87778.05,87783.37,6.69014
87783.38,87803.02,87705.97,87736.45,32.28224
87736.44,87804.47,87718.03,87804.46,13.20699
87804.47,87887.15,87804.46,87887.15,20.95955
87887.15,87900.0,87830.62,87885.99,18.60799
87885.99,87943.65,87885.99,87902.61,14.79298
87902.62,87919.65,87854.0,87866.97,12.98952
87866.97,87866.98,87840.61,87854.96,8.37981
87854.97,87945.39,87854.96,87945.39,27.87324
