open,high,low,close,volume
89489.58,89500.0,89466.61,89500.0,10.19749
89500.0,89516.69,89491.31,89515.93,8.85913
89515.93,89578.7,89498.26,89578.7,9.49705
89578.7,89585.6,89551.4,89567.29,15.27325
89567.29,89588.72,89567.28,89574.23,7.27967
89574.22,89574.22,89481.41,89497.07,9.40392
89497.07,89513.72,89469.11,89513.71,11.82122
89513.72,89549.99,89512.33,89540.39,8.43238
89540.4,89541.77,89514.63,89527.47,8.77424
89527.47,89550.0,89527.46,89550.0,6.60646
89549.99,89550.25,89539.76,89550.24,11.30443
89550.24,89592.0,89550.24,89586.58,11.87666
89586.59,89647.97,89586.58,89647.97,20.69102
89647.96,89664.01,89621.66,89621.67,7.05751
89621.66,89675.0,89620.54,89647.27,10.70183
89647.27,89647.27,89601.31,89628.05,9.56314
89628.06,89628.06,89604.07,89617.41,4.882
89617.41,89666.26,89607.18,89635.34,13.29785
89635.33,89686.57,89627.23,89686.56,10.07365
89686.57,89686.57,89686.56,89686.57,4.8574
89686.56,89686.57,89666.05,89685.29,16.8818
89685.28,89702.82,89657.31,89700.6,16.91148
89700.59,89722.57,89695.17,89702.85,16.19298
89702.85,89823.2,89670.88,89815.16,28.79045
89815.16,89855.27,89778.78,89855.27,29.45063
89855.27,89885.56,89805.87,89873.32,27.5928
89873.32,89885.41,89819.96,89819.97,35.17544
89819.97,89844.25,89786.8,89837.66,11.9453
89837.65,89957.39,89830.08,89936.25,75.27959
89936.26,89936.26,89869.66,89869.66,12.19852
89869.67,89881.07,89791.44,89858.03,36.34198
89858.03,89875.95,89824.41,89834.34,5.72916
89834.34,89836.32,89749.99,89750.0,64.37864
89750.0,89790.16,89740.0,89756.43,19.89836
89756.43,89770.03,89750.61,89770.02,21.5769
89770.03,89800.0,89763.42,89779.11,34.61983
89779.11,89831.62,89779.11,89831.62,9.97833
89831.61,89831.62,89803.42,89803.43,7.65003
89803.42,89813.3,89788.4,89788.41,11.65938
89788.41,89788.41,89731.97,89749.31,15.98744
89749.31,89749.31,89709.08,89723.13,12.72402
89723.14,89770.89,89723.13,89770.89,16.59873
89770.89,89770.89,89739.02,89739.03,15.54344
89739.03,89761.49,89739.02,89759.67,15.3126
89759.67,89768.16,89742.87,89754.07,8.96007
89754.07,89807.28,89754.06,89807.27,8.38183
89807.28,89853.38,89807.27,89829.35,10.57098
89829.36,89829.36,89797.21,89797.21,5.32888
89797.21,89802.02,89790.0,89798.54,20.16829
89798.54,89849.78,89798.53,89829.1,18.9107
