open,high,low,close,volume
110293.69,110333.33,110227.71,110331.05,53.2551
110331.04,110402.52,110287.54,110386.98,45.22585
110386.99,110472.52,110326.99,110427.68,61.41446
110427.67,110488.77,110254.65,110265.8,72.31695
110265.81,110519.81,110265.81,110440.23,41.72337
110440.23,110556.31,110373.57,110529.35,44.8027
110529.35,110567.05,110491.93,110514.01,25.53402
110514.01,110583.86,110480.0,110559.48,22.16871
110559.48,110559.48,110281.24,110281.24,55.50388
110281.24,110491.68,110257.77,110491.68,36.48847
110491.68,110611.74,110455.45,110505.02,53.67327
110505.02,110595.7,110463.57,110564.64,32.26314
110564.64,110564.64,110464.04,110479.12,28.64507
110479.12,110479.13,110300.0,110382.7,45.60073
110382.7,110611.05,110380.0,110595.65,45.44385
110595.66,110596.29,110491.24,110585.2,58.2342
110585.2,110609.78,110528.44,110607.09,17.15635
110607.09,110651.36,110584.75,110584.76,24.57156
110584.76,110686.95,110580.0,110659.19,76.84492
110659.19,110725.64,110432.48,110460.76,101.2141
110460.75,110506.37,110331.04,110399.98,59.08904
110399.99,110484.05,110399.98,110399.98,33.60982
110399.99,110595.51,110350.0,110595.51,27.53317
110595.51,110828.0,110595.5,110753.03,50.68097
110753.03,110897.4,110726.03,110894.02,55.00462
110894.03,110985.84,110858.35,110918.62,44.89738
110918.62,110977.14,110913.66,110977.13,29.06297
110977.13,110999.95,110936.68,110953.25,32.69492
110953.24,110985.36,110922.0,110973.46,37.14616
110973.46,110973.46,110820.18,110839.0,30.593
110839.0,110934.61,110820.18,110923.84,26.90915
110923.84,111011.99,110881.0,110985.92,60.99343
110985.93,110985.93,110672.0,110708.05,81.85724
110708.05,110857.38,110688.0,110810.11,65.89465
110810.11,110810.12,110716.46,110778.0,21.1586
110778.0,110874.0,110740.99,110740.99,72.31869
110740.99,110832.93,110734.38,110774.46,34.89357
110774.45,110799.4,110739.26,110783.89,20.52927
110783.88,110814.27,110750.01,110773.75,20.47414
110773.75,110914.23,110718.96,110855.61,95.8292
110855.61,110855.61,110706.05,110726.64,34.59227
110726.64,110739.3,110668.03,110668.03,24.67586
110668.03,110668.03,110590.67,110590.68,64.12463
110590.67,110816.85,110538.68,110751.47,92.39175
110751.48,110761.43,110641.85,110659.73,100.54864
110659.73,110659.73,110251.51,110320.41,209.95626
110320.42,110320.42,109900.0,110011.49,178.55001
110011.48,110028.59,109775.58,109971.13,116.2452
109971.13,110152.37,109397.85,109448.0,256.40133
109448.0,109472.88,108001.49,108390.02,1119.02749
