open,high,low,close,volume
91397.25,91423.16,91397.25,91423.16,7.76794
91423.16,91424.0,91396.59,91400.96,6.82135
91400.96,91427.12,91378.07,91399.19,19.1983
91399.2,91526.63,91399.19,91498.38,33.94636
91498.38,91568.98,91462.06,91481.34,60.11554
91481.35,91481.35,91251.88,91261.01,60.328
91261.01,91309.04,91128.21,91147.17,87.84034
91147.18,91170.76,91066.9,91066.9,113.14379
91066.9,91097.05,90958.03,90958.03,76.71112
90958.03,91010.92,90904.3,90925.49,97.59258
90925.48,90969.46,90867.43,90910.87,119.71406
90910.87,91048.67,90907.98,91016.76,54.16015
91016.76,91076.92,90958.04,91024.28,84.68422
91024.29,91241.26,91024.28,91125.77,48.38283
91125.77,91232.39,91107.36,91144.61,61.70718
91144.61,91241.26,91132.08,91179.89,50.8613
91179.9,91193.99,91148.09,91148.1,23.38892
91148.1,91149.82,91015.11,91080.05,54.37216
91080.05,91279.36,91080.04,91181.36,38.10606
91181.36,91209.19,91114.82,91131.42,15.75094
91131.42,91218.86,91101.21,91192.08,20.55541
91192.09,91717.0,91192.08,91510.76,335.96485
91510.76,91690.0,91394.0,91690.0,111.52957
91689.99,91776.57,91520.21,91554.0,82.90865
91554.01,91731.49,91518.42,91731.48,54.59788
91731.48,91850.0,91620.99,91673.99,82.233
91674.0,91674.0,91515.12,91581.21,63.27013
91581.21,91693.92,91562.53,91610.26,50.10505
91610.27,91659.43,91580.85,91630.79,27.88966
91630.8,91638.62,91525.0,91553.09,35.5807
91553.1,91625.22,91486.28,91503.75,28.85125
91503.74,91527.98,91439.34,91479.51,58.02855
91479.51,91587.76,91479.5,91578.43,55.94605
91578.44,91596.94,91551.28,91587.85,17.77998
91587.86,91600.0,91537.65,91599.99,21.5852
91600.0,91600.0,91516.45,91527.03,34.04669
91527.04,91527.04,91480.28,91488.91,21.21062
91488.92,91554.83,91488.91,91530.07,18.12328
91530.07,91591.25,91486.97,91586.01,46.03776
91586.02,91638.62,91512.99,91613.17,91.80335
91613.17,91613.18,91568.15,91568.16,18.13258
91568.16,91666.89,91531.95,91609.92,89.03109
91609.92,91655.99,91560.01,91655.98,21.22883
91655.99,91663.47,91620.99,91627.0,17.47965
91627.0,91637.91,91587.83,91595.22,27.95787
91595.23,91860.14,91587.83,91860.14,347.69824
91860.14,91874.86,91788.32,91850.49,53.73221
91850.49,92030.0,91725.62,91733.34,272.12845
91734.82,91734.82,91537.83,91588.86,100.83719
91588.86,91638.62,91371.56,91372.75,79.15366
