open,high,low,close,volume
89275.77,89301.67,89234.28,89252.58,18.7842
89252.58,89369.79,89251.55,89340.41,22.80952
89340.41,89349.31,89190.97,89247.79,79.07772
89247.79,89268.62,89162.08,89215.99,13.14545
89216.0,89241.51,89199.09,89235.24,28.09256
89235.24,89260.0,89235.24,89260.0,2.90874
89260.0,89264.0,89250.45,89250.46,10.14375
89250.46,89250.46,89200.0,89200.01,11.64586
89200.01,89220.0,89189.92,89219.99,5.12879
89219.99,89258.85,89183.56,89258.84,23.37327
89258.84,89316.37,89258.84,89296.43,8.32333
89296.44,89305.0,89285.51,89290.01,11.6271
89290.01,89326.0,89252.93,89294.14,12.1843
89294.14,89320.0,89288.21,89288.22,11.43588
89288.21,89395.08,89288.21,89371.88,21.22438
89371.89,89405.07,89341.38,89405.06,8.06219
89405.07,89405.5,89398.82,89405.45,10.03016
89405.44,89414.38,89405.44,89406.69,6.48907
89406.69,89406.69,89356.26,89356.27,16.12954
89356.26,89392.19,89356.26,89392.18,2.58295
89392.18,89397.18,89333.53,89333.53,25.13265
89333.53,89333.54,89316.71,89329.49,6.07696
89329.49,89356.1,89329.49,89356.1,9.30137
89356.1,89406.51,89356.1,89406.5,6.49463
89406.5,89406.51,89382.05,89396.54,6.30417
89396.53,89402.59,89396.53,89402.59,4.01051
89402.58,89416.0,89402.56,89415.99,13.86507
89416.0,89430.0,89410.51,89412.43,12.0558
89412.44,89412.44,89398.27,89398.27,4.56407
89398.27,89426.7,89398.27,89426.69,4.97497
89426.7,89433.41,89413.48,89433.4,12.20259
89433.4,89461.4,89433.4,89454.21,5.94365
89454.2,89454.21,89412.73,89412.73,6.93743
89412.74,89427.31,89412.73,89417.49,3.86816
89417.49,89417.49,89406.52,89406.52,5.30778
89406.53,89406.53,89395.22,89395.23,4.37033
89395.22,89395.23,89372.05,89372.06,4.87397
89372.05,89372.05,89337.51,89341.0,5.54927
89341.01,89341.01,89316.98,89316.98,3.2679
89316.99,89316.99,89289.02,89308.8,10.59306
89308.81,89308.81,89276.58,89285.02,5.29942
89285.02,89296.04,89285.02,89296.03,7.18813
89296.03,89324.32,89292.86,89320.63,22.95451
89320.64,89320.64,89302.58,89320.44,10.51278
89320.44,89334.99,89320.44,89334.98,9.53367
89334.98,89358.0,89316.15,89316.15,10.65287
89316.15,89332.31,89316.15,89332.3,2.97299
89332.3,89341.01,89319.53,89331.36,12.07959
89331.36,89380.44,89331.35,89373.58,5.90465
89373.58,89382.0,89373.53,89373.53,3.50261
