open,high,low,close,volume
87256.62,87322.0,87256.61,87292.64,7.05014
87292.64,87308.76,87266.46,87308.76,8.91606
87308.75,87318.0,87288.28,87301.17,15.94871
87301.17,87358.54,87301.17,87358.53,9.15767
87358.53,87358.54,87312.03,87312.04,10.44221
87312.04,87349.33,87312.03,87322.25,17.21931
87322.25,87345.66,87322.24,87337.85,11.21725
87337.85,87337.85,87250.28,87250.29,15.11493
87250.28,87282.5,87085.5,87085.5,34.47621
87085.5,87130.07,87071.49,87128.55,35.20502
87128.55,87187.82,87128.55,87169.14,31.32628
87169.15,87260.03,87163.94,87260.03,21.82491
87260.02,87260.02,87202.01,87225.02,37.43427
87225.02,87319.68,87206.03,87306.28,38.72681
87306.29,87334.75,87258.1,87272.67,26.6889
87272.67,87389.87,87272.67,87379.1,21.18088
87379.1,87404.29,87340.72,87404.28,19.4995
87404.28,87404.29,87351.05,87370.63,11.07296
87370.63,87395.07,87351.05,87351.05,17.9866
87351.05,87379.9,87280.46,87370.7,25.45212
87370.7,87395.07,87346.0,87395.06,17.81665
87395.06,87395.07,87364.62,87375.11,16.02859
87375.11,87375.11,87325.29,87335.39,16.67103
87335.38,87350.0,87329.07,87329.08,12.69995
87329.08,87329.08,87200.01,87206.15,26.78906
87206.15,87269.98,87206.14,87247.76,15.36948
87247.77,87247.77,87192.91,87192.91,9.06788
87192.92,87221.86,87188.0,87221.86,14.3255
87221.86,87238.06,87210.43,87219.57,17.44593
87219.57,87257.15,87219.57,87257.14,8.72344
87257.14,87261.92,87237.13,87237.13,10.70897
87237.13,87308.09,87226.14,87264.28,42.65628
87264.28,87313.69,87202.54,87304.06,23.53215
87304.06,87338.48,87297.67,87302.24,10.38038
87302.24,87359.4,87292.64,87315.68,14.03568
87315.69,87343.48,87296.47,87341.47,5.81585
87341.48,87347.83,87300.0,87300.0,10.9788
87300.0,87300.01,87122.33,87177.0,28.20671
87176.99,87186.0,87105.09,87112.8,28.37213
87112.8,87147.93,87112.8,87134.8,10.33722
87134.8,87221.86,87134.79,87214.09,23.79142
87214.08,87243.95,87214.08,87230.75,10.01352
87230.75,87269.1,87230.74,87250.23,22.3905
87250.22,87250.23,87152.22,87167.06,27.24712
87167.06,87198.97,87167.04,87190.84,18.65556
87190.84,87283.81,87187.84,87223.13,18.92956
87223.12,87292.65,87185.73,87292.65,9.85272
87292.65,87292.65,87247.09,87249.61,21.99806
87249.6,87252.57,87192.63,87192.63,19.58414
87192.64,87222.85,87150.0,87150.08,23.85786
