open,high,low,close,volume
111322.0,111343.74,111317.34,111343.73,6.20907
111343.74,111440.0,111343.73,111440.0,15.65403
111439.99,111440.0,111409.68,111434.12,6.23084
111434.13,111459.25,111412.06,111459.25,13.52739
111459.24,111599.99,111459.24,111599.99,26.60154
111599.99,111690.0,111597.31,111636.65,39.46555
111636.65,111713.0,111624.0,111705.73,20.46644
111705.74,111731.78,111665.0,111670.23,18.40804
111670.23,111710.0,111623.21,111623.21,14.74344
111623.21,111679.98,111600.0,111679.97,43.51122
111679.97,111720.0,111660.33,111719.98,15.27842
111719.98,111719.99,111622.71,111666.06,11.35071
111666.07,111688.32,111606.04,111623.75,25.0384
111623.76,111623.76,111605.47,111605.48,2.56322
111605.48,111660.0,111605.48,111659.99,12.81972
111659.99,111660.0,111611.51,111659.99,14.31089
111660.0,111660.0,111635.87,111635.87,21.24259
111635.87,111720.0,111628.93,111684.56,35.33466
111684.56,111684.56,111600.0,111612.67,13.26383
111612.67,111661.6,111612.66,111638.32,11.59662
111638.32,111638.33,111604.8,111611.49,5.94612
111611.49,111611.5,111579.75,111605.43,9.30548
111605.43,111623.46,111605.42,111623.45,7.83575
111623.46,111638.39,111611.34,111611.34,5.98974
111611.34,111659.39,111611.34,111659.38,8.96712
111659.38,111659.38,111600.0,111600.0,8.4106
111600.01,111600.01,111568.11,111584.14,9.90366
111584.14,111584.15,111555.0,111555.01,7.73702
111555.0,111555.01,111524.8,111534.75,8.24911
111534.76,111534.76,111474.06,111486.53,15.16674
111486.53,111486.54,111370.0,111417.09,34.69483
111417.09,111536.0,111417.09,111478.54,26.60604
111478.55,111509.36,111478.54,111509.36,8.08864
111509.36,111509.36,111486.51,111487.06,6.27814
111487.06,111511.55,111386.9,111431.94,14.24685
111431.94,111438.61,111427.46,111427.46,10.00262
111427.47,111427.47,111393.69,111403.45,7.56782
111403.46,111458.42,111403.45,111458.36,21.57258
111458.36,111458.36,111388.5,111416.43,19.5743
111416.43,111431.11,111408.22,111431.1,3.21127
111431.11,111431.11,111383.43,111401.94,11.49274
111401.95,111414.72,111346.86,111346.87,20.01219
111346.86,111375.82,111346.86,111360.0,7.68533
111359.99,111366.67,111342.25,111355.46,11.64584
111355.47,111368.24,111355.46,111368.24,2.50739
111368.24,111368.24,111350.62,111368.21,7.36505
111368.21,111477.76,111368.21,111477.76,10.83252
111477.76,111477.76,111419.36,111448.75,9.49666
111448.76,111477.75,111436.98,111473.27,8.54859
111473.27,111473.28,111413.86,111413.86,26.54822
