open,high,low,close,volume
108096.18,108110.82,107945.5,108053.72,95.40833
108053.72,108116.0,107960.99,107974.99,233.26717
107974.98,107975.0,107879.93,107895.82,165.13239
107895.82,108016.0,107895.82,107945.35,180.52334
107945.35,108170.0,107920.9,108136.52,158.0488
108136.52,108196.3,108106.45,108106.45,63.11793
108106.45,108174.99,108049.8,108166.81,59.80491
108166.82,108167.67,108058.79,108073.62,55.74467
108073.63,108107.34,108026.07,108057.83,46.91328
108057.83,108131.89,108050.37,108131.88,34.68114
108131.89,108160.0,108060.0,108147.11,45.25269
108147.11,108245.83,108062.0,108234.07,95.81381
108234.07,108331.75,108176.4,108245.79,80.99667
108245.78,108291.7,108202.01,108223.34,39.09043
108223.33,108279.85,107945.51,108015.34,90.76645
108015.34,108118.71,107948.37,108026.05,63.34888
108026.05,108078.02,107998.86,108068.53,41.63879
108068.53,108068.54,107945.5,107965.39,37.89911
107965.4,108032.45,107965.39,107980.02,43.11085
107980.02,108013.0,107941.27,107941.28,48.95134
107941.27,107941.28,107631.1,107677.7,208.56822
107677.71,107772.96,107610.0,107613.76,54.12324
107613.75,107892.97,107612.08,107862.08,125.4901
107862.08,107896.19,107802.51,107884.49,39.51105
107884.49,107988.63,107884.48,107988.62,58.00799
107988.63,108076.92,107962.06,107967.88,89.37991
107967.88,108189.65,107967.87,108189.59,47.31456
108189.6,108290.92,108149.99,108158.14,170.38556
108158.15,108255.28,108077.02,108191.17,153.85564
108191.17,108286.41,108168.6,108219.98,42.76751
108219.99,108321.64,108219.98,108321.63,38.65287
108321.64,108321.64,108218.0,108235.02,20.62103
108235.02,108254.27,108182.94,108215.78,20.59793
108215.78,108236.81,108084.72,108096.24,25.72799
108096.25,108197.14,108079.86,108113.29,47.9224
108113.28,108150.0,108094.16,108150.0,36.88244
108150.0,108351.57,108149.99,108258.41,46.0255
108258.42,108275.87,108136.21,108151.87,151.88337
108151.87,108274.45,108151.87,108182.38,29.34244
108182.37,108310.0,108182.37,108309.02,26.60261
108309.02,108358.76,108207.78,108215.0,31.11272
108215.0,108258.4,108189.19,108230.68,58.44596
108230.69,108297.55,108210.5,108229.3,10.4973
108229.3,108272.43,108200.0,108200.01,46.04158
108200.01,108200.01,108005.0,108098.7,60.87161
108098.7,108098.7,108000.0,108000.0,28.84952
108000.0,108077.57,107871.35,107884.15,49.31367
107884.16,108067.98,107864.62,108041.49,37.74328
108039.66,108204.32,108016.2,108202.36,55.23839
108202.36,108274.43,108173.58,108186.89,45.38458
