open,high,low,close,volume
70792.8,70964.24,70708.08,70727.27,107.16187
70727.27,70735.97,70050.0,70050.55,863.90603
70050.55,70361.46,69970.01,70065.4,1096.19145
70067.21,70285.37,69922.0,70212.51,493.02836
70212.51,70640.0,70065.84,70566.28,280.95036
70566.28,70728.88,70479.9,70493.71,203.92068
70493.71,70599.99,70339.29,70504.45,191.33229
70504.45,70591.0,70201.62,70252.42,150.56379
70252.43,70402.86,70199.9,70318.35,252.20309
70318.35,70603.49,70263.0,70502.38,174.27088
70502.39,70567.84,70137.02,70215.35,178.09985
70215.36,70330.4,69918.0,69918.01,307.03269
69918.01,69940.0,69431.44,69453.87,1035.17314
69453.87,69539.99,69181.07,69188.52,914.14571
69188.52,69812.23,69163.0,69640.86,674.70966
69640.87,69842.54,69413.05,69609.16,397.46738
69611.31,69708.47,69407.76,69495.89,242.46316
69495.89,69562.35,69206.97,69327.77,379.25058
69327.77,69520.0,69200.0,69474.58,448.34357
69474.58,69774.42,69373.43,69373.43,339.46165
69373.44,69659.01,69230.0,69563.57,240.95851
69563.56,69571.78,69415.27,69529.52,212.58248
69529.52,69831.85,69512.07,69733.55,274.42392
69733.55,69776.66,69461.56,69488.08,197.93782
69488.07,69600.0,69400.7,69460.17,214.20204
69460.17,69486.22,69343.84,69477.85,148.72322
69477.86,69505.58,69261.11,69294.31,180.24387
69294.31,69633.4,69265.0,69620.1,322.98325
69620.09,69635.14,69393.84,69398.44,246.0338
69398.45,69488.04,69340.79,69434.09,165.5839
69434.1,69500.0,69388.0,69426.88,146.92925
69426.89,69700.0,69361.37,69666.37,234.16175
69666.38,69750.0,69539.91,69688.94,243.85434
69688.94,70312.62,69688.93,70119.91,502.37028
70119.9,70119.9,69810.66,69893.37,199.93802
69893.37,70060.0,69721.51,69740.76,198.08882
69740.75,69820.0,69492.25,69699.9,202.22462
69699.9,70020.0,69692.53,69996.25,180.99815
69996.26,70150.0,69996.26,70129.13,181.26919
70129.29,70515.15,69927.47,70400.0,502.91857
70400.0,70872.04,70225.91,70711.3,421.97544
70711.3,70734.24,70323.72,70436.0,235.40606
70435.25,70773.94,70205.0,70304.53,269.55251
70304.53,70407.48,69870.0,69942.08,219.13961
69942.44,69955.21,69285.71,69404.76,345.36411
69404.75,69616.29,68867.0,68981.35,1166.13643
68981.36,69014.22,68524.36,68627.96,947.12878
68627.95,68807.38,68011.11,68014.24,1232.43801
68014.24,68710.2,68014.24,68296.72,684.44865
68296.71,68310.52,67000.0,67599.37,2490.43951
